日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20201130,7774,ジャパン・ティッシュ・エンジニアリング,JASDAQ(グロース・内国株）,3750,精密機器,9,電機・精密 ,-,-
20201130,7775,大研医器,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20201130,7776,セルシード,JASDAQ(グロース・内国株）,3750,精密機器,9,電機・精密 ,-,-
20201130,7777,スリー・ディー・マトリックス,JASDAQ(グロース・内国株）,3750,精密機器,9,電機・精密 ,-,-
20201130,7779,ＣＹＢＥＲＤＹＮＥ,マザーズ（内国株）,3750,精密機器,9,電機・精密 ,-,-
20201130,7780,メニコン,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,4,TOPIX Mid400
20201130,7781,平山ホールディングス,JASDAQ(スタンダード・内国株）,3750,精密機器,9,電機・精密 ,-,-
20201130,7782,シンシア,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20201130,7790,バルコス,PRO Market,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7800,アミファ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7803,ブシロード,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7804,ビーアンドピー,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7805,プリントネット,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7806,ＭＴＧ,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7807,幸和製作所,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7808,シー・エス・ランバー,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7809,壽屋,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7810,クロスフォー,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7811,中本パックス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7812,クレステック,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7813,プラッツ,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7814,日本創発グループ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7815,東京ボード工業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7816,スノーピーク,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7817,パラマウントベッドホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7818,トランザクション,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7819,粧美堂,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7820,ニホンフラッシュ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7821,前田工繊,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7822,永大産業,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7823,アートネイチャー,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7826,フルヤ金属,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7827,オービス,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7829,サマンサタバサジャパンリミテッド,マザーズ（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7831,ウイルコホールディングス,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7832,バンダイナムコホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,2,TOPIX Large70
20201130,7833,アイフィスジャパン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7836,アビックス,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7837,アールシーコア,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7838,共立印刷,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7839,ＳＨＯＥＩ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7840,フランスベッドホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7841,遠藤製作所,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7844,マーベラス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7846,パイロットコーポレーション,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7847,グラファイトデザイン,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7849,スターツ出版,JASDAQ(スタンダード・内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
20201130,7850,総合商研,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7851,カワセコンピュータサプライ,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7855,カーディナル,JASDAQ(グロース・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7856,萩原工業,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7857,セキ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7859,アルメディオ,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7860,エイベックス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7862,トッパン・フォームズ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7863,平賀,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7864,フジシールインターナショナル,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7865,ピープル,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7867,タカラトミー,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7868,廣済堂,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7869,日本フォームサービス,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7871,フクビ化学工業,市場第二部（内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7872,エステールホールディングス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7874,レック,市場第一部（内国株）,3200,化学,4,素材・化学 ,6,TOPIX Small 1
20201130,7875,竹田印刷,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7877,永大化工,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7878,光・彩,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7879,ノダ,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7883,サンメッセ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7885,タカノ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7886,ヤマト・インダストリー,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7887,南海プライウッド,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7888,三光合成,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7893,プロネクサス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7895,中央化学,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7896,セブン工業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7897,ホクシン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7898,ウッドワン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7899,ＭＩＣＳ化学,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7901,マツモト,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7902,ソノコム,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7905,大建工業,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7906,ヨネックス,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7908,きもと,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7911,凸版印刷,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7912,大日本印刷,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7914,共同印刷,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7915,ＮＩＳＳＨＡ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7916,光村印刷,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7917,藤森工業,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7918,ヴィア・ホールディングス,市場第一部（内国株）,6100,小売業,14,小売 ,7,TOPIX Small 2
20201130,7919,野崎印刷紙業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7921,ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7922,三光産業,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7923,トーイン,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7925,前澤化成工業,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7927,ムトー精工,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7928,旭化学工業,JASDAQ(スタンダード・内国株）,3200,化学,4,素材・化学 ,-,-
20201130,7931,未来工業,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7932,ニッピ,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7936,アシックス,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7937,ツツミ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7938,リーガルコーポレーション,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7939,研創,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7940,ウェーブロックホールディングス,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7942,ＪＳＰ,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7943,ニチハ,市場第一部（内国株）,3400,ガラス・土石製品,3,建設・資材 ,6,TOPIX Small 1
20201130,7945,コマニー,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7946,光陽社,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7947,エフピコ,市場第一部（内国株）,3200,化学,4,素材・化学 ,4,TOPIX Mid400
20201130,7949,小松ウオール工業,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7951,ヤマハ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7952,河合楽器製作所,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7953,菊水化学工業,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7955,クリナップ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7956,ピジョン,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7957,フジコピアン,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7958,天馬,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7959,オリバー,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7961,兼松サステック,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7962,キングジム,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7963,興研,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7965,象印マホービン,市場第一部（内国株）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
20201130,7966,リンテック,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,4,TOPIX Mid400
20201130,7970,信越ポリマー,市場第一部（内国株）,3200,化学,4,素材・化学 ,6,TOPIX Small 1
20201130,7971,東リ,市場第一部（内国株）,3200,化学,4,素材・化学 ,7,TOPIX Small 2
20201130,7972,イトーキ,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
20201130,7974,任天堂,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,1,TOPIX Core30
20201130,7975,リヒトラブ,市場第二部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7976,三菱鉛筆,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,6,TOPIX Small 1
20201130,7979,松風,市場第一部（内国株）,3750,精密機器,9,電機・精密 ,7,TOPIX Small 2
20201130,7980,重松製作所,JASDAQ(スタンダード・内国株）,3800,その他製品,10,情報通信・サービスその他 ,-,-
20201130,7981,タカラスタンダード,市場第一部（内国株）,3800,その他製品,10,情報通信・サービスその他 ,7,TOPIX Small 2
